id	group	arch_package	requirement	profiles	feature	capability	diagnostic	service	source	install_notes	session_requirement	hardware_condition
adw-gtk-theme	raohane-theming	adw-gtk-theme	optional	full	GTK theming	Consistent GTK fallback	pacman -Q adw-gtk-theme	-	official	Does not replace Raohane design tokens	relogin	all
mesa	raohane-graphics-common	mesa	required	recommended,full	Graphics	OpenGL userspace	glxinfo -B	-	official	Driver installation is never automatic	relogin	all
vulkan-tools	raohane-graphics-common	vulkan-tools	optional	recommended,full	Graphics diagnostics	Vulkan device inspection	vulkaninfo --summary	-	official	Diagnostic only	none	all
mesa-utils	raohane-graphics-common	mesa-utils	optional	recommended,full	Graphics diagnostics	OpenGL renderer inspection	glxinfo -B	-	official	Diagnostic only	none	all
nvidia-legacy-dkms	raohane-graphics-nvidia-legacy	nvidia-580xx-dkms	optional	full	NVIDIA legacy graphics	Maxwell Pascal Volta kernel module	modinfo nvidia	-	aur	Plan only; explicitly confirm driver family and matching kernel headers	reboot	nvidia-maxwell-pascal-volta
nvidia-legacy-utils	raohane-graphics-nvidia-legacy	nvidia-580xx-utils	optional	full	NVIDIA legacy userspace	OpenGL and Vulkan userspace	nvidia-smi	-	aur	Keep userspace and kernel module versions aligned	reboot	nvidia-maxwell-pascal-volta
nvidia-modern-dkms	raohane-graphics-nvidia-modern	nvidia-open-dkms	optional	full	NVIDIA modern graphics	Turing and newer open kernel module	modinfo nvidia	-	official	Plan only; never silently install	reboot	nvidia-turing-or-newer
nvidia-modern-utils	raohane-graphics-nvidia-modern	nvidia-utils	optional	full	NVIDIA modern userspace	OpenGL and Vulkan userspace	nvidia-smi	-	official	Keep userspace and kernel module versions aligned	reboot	nvidia-turing-or-newer
amd-mesa	raohane-graphics-amd	mesa	optional	full	AMD graphics	OpenGL driver	glxinfo -B	-	official	Plan only; normally already installed	relogin	amd-gpu
amd-vulkan	raohane-graphics-amd	vulkan-radeon	optional	full	AMD graphics	Vulkan driver	vulkaninfo --summary	-	official	Plan only; do not replace working proprietary stacks silently	relogin	amd-gpu
intel-mesa	raohane-graphics-intel	mesa	optional	full	Intel graphics	OpenGL driver	glxinfo -B	-	official	Plan only; normally already installed	relogin	intel-gpu
intel-vulkan	raohane-graphics-intel	vulkan-intel	optional	full	Intel graphics	Vulkan driver	vulkaninfo --summary	-	official	Plan only	relogin	intel-gpu
